Unnamed: 0,Date,User,Tweet
139059,2019-01-21 02:43:36+00:00,IkkMundaPunjabi,"#latestnews

 @narendramodi  - How is the Khauff ?

#Mahagatbandhan - High Sir !

@INCIndia @BJP4India
#NamoAgain 
#NaMoAgain2019 
#ModiOnceMore
#ModiForPM2019
#CongressMuktBharat 
#MeraPMmeraAbhimaan
#ModiVsGathbandhan
#NarendraModi 
#ThugbandhanInKolkata2019"
33110,2019-03-27 06:36:31+00:00,dhavalkulkarni,"Deepak Pauskar to be inducted in Goa cabinet today, Sudin Dhavalikar to be dropped. #Goa #BJP #MGP"
55428,2019-02-07 07:53:32+00:00,BabarIsac,"The draconian law of NSA on Cow slaughter.
There are other IPC as well to put .
Shame #MPGOV #INC #RJD #TMC"
101861,2019-04-07 15:21:04+00:00,ravirao83,@IndiaToday Farooq Abdullah is behind the Kashmir problem! So? #Pulwama #LokSabhaElections2019
133441,2019-02-15 10:24:49+00:00,mukeshyadavHR,"Post visit of Navjot Singh sidhu  of Pakistan terrorist attack, stone pletting, and other several issues have increased in JnK , why ?
#NarendraModi #PMO #pmoindia #NavjotSinghSidhu #navjotSidhu"
80180,2019-04-28 10:38:22+00:00,vivekshukla555,"@CEOBihar @ECISVEEP Option : D                                           #VoterQuotient 
@CEOBihar #LokSabhaElections2019 @ECISVEEP"
95349,2019-04-12 13:21:03+00:00,ilovemyindiaind,Free education for girls in Odisha from KG to PG.   JAI #BJD JAI Naveen Patnaik #ELECTIONS #CONCH #SANKHA #LokSabhaElections2019 #OdishaElections2019 #ଘରେଘରେଶଙ୍ଖ #Odisha #NabeenaOdishaSashaktaOdisha #KaliaforOdisha #GhareGhareSankha #BJDmanifesto
64830,2019-01-04 12:23:52+00:00,joshiparth111,"@arunjaitley sir I was your fan.
But after your speech yesterday and today. I turned your super duper fan .
Awesome. Both about #Rafaeldeal and #kashmir .
#Bravo  #Bravo #Bravo .
#BJP"
74325,2019-05-06 03:06:14+00:00,lata_nga,"Dear Lucknow wasis... please do vote today! Remember, you lose the right to complain when you don’t cast your vote! #Lucknow #LokSabhaElections2019"
78798,2019-04-29 08:50:04+00:00,LakshmiRamanath,Voted ... ! #LoksabhaElections2019
118188,2019-03-19 03:24:25+00:00,Waraich_PS,"#Mayawati and #AkhileshYadav are doing to #RahulGandhi what #RahulGandhi did to #ArvindKejriwal... Instant Karma?
😆😆😆
#LokSabhaElections2019"
62384,2019-01-12 19:28:26+00:00,GomathiRaghava4,"Brahmin individuals
community targeted by
#bjp bioterrorist
There were strikes from fan
supernatural #acoustic sound
Atrocities of bioterrorist
The mere sending tweet or
reaffirmation of talent triggers
madness in bioterrorist which
disproportionately reacts

#RSS sarsanghachalac"
107275,2019-04-01 06:24:13+00:00,neerajbhushan,"I live in a country where delivery agent eats packed food, and then people laugh at him, and then his company throws him out of job. Mind the words #food #job #BharatBolega #RaisinaHill #LokSabhaElections2019"
53087,2019-02-14 12:03:02+00:00,TATS12345,"@JaiveerShergill #BJp had the Guts to Go Inside and Kill, WTF r u doing for Martarys except #chutiyapolitics and please do mention how many terrorists hav been sent to 72 hur by our army"
139996,2019-01-12 15:13:04+00:00,ramchandani2000,do you know? FEROZ's memorial in PRAYAG has surname GHANDHY. will #RahulGandhi get it corrected?
125589,2019-03-10 12:19:40+00:00,bdnaraayannkar,"#LokSabhaElections2019 

CEC Sunil Arora announces 17th LS poll date

Phase 3: April 23
Counting: May 23 

#BREAKING"
133970,2019-02-14 16:27:40+00:00,Sandeep71888299,#narendramodi How is the Krodh sir please distroy the terrorism and Pakistan army this is not acceptable sir we are not acceptable this situation
86320,2019-04-22 01:41:08+00:00,thej,"Vikaas has left the country, he is NRI now!!!

#LokSabhaElections2019"
97762,2019-04-11 04:29:22+00:00,tv9gujarati,"Voter turnout recorded till 9 am in Telangana is 10.6%, 5.83% in Andaman and Nicobar Islands, 10.2% in Assam and 13.3% in Arunachal Pradesh.
#LokSabhaElections2019 #ElectionsWithTv9"
59554,2019-01-24 07:39:49+00:00,rahulgandhi2020,"Congress president Rahul Gandhi is all set to hold massive rallies in  Bhubaneswar, Raipur and Patna on January 25, January 28 and February 3,  respectively.

#RahulGandhi #incindia #rahulgandhi2020"
102744,2019-04-06 09:00:04+00:00,mayanks53407394,"@ArnabSpeaks_ A man is yet to born who pleases everybody, but a man in #RahulGandhi has already born who entertains everybody.. गज़ब का मसखरा है ।"
69713,2019-05-12 10:56:47+00:00,VandanaMegastar,"@lekhachakrborty Great, good to know this, tks 💕 lady. Hope we encourage females to vote... 👍☺ #LokSabhaElections2019 #delhivotes"
46643,2019-03-04 18:49:58+00:00,surajitdey1979,@IndiaToday @jigyasa203 #BJP IT Cell is getting weaker coz the poll looking almost 50/50 it's mean IT Cell loosing their performance..😀😁😂
67598,2019-05-16 08:06:30+00:00,avithanvi,@free_thinker @anjanaomkashyap This is called PR. #LokSabhaElections2019
112062,2019-03-26 16:18:16+00:00,Nitendradd,"#ECI has also appointed Sh Mrinal Kanti Das (IPS 1977 Retd DGP Manipur) as Special Central Police Observer for States of Tripura and Mizoram.

These Observers would oversee the deployment and other security related issues in the said States.

#Breaking #LokSabhaElections2019"
33887,2019-03-26 06:30:48+00:00,ankit_kh07,"@RahulGandhi The latest announcement of Cong if tested on simple arithmetic then ₹72,000 is less than 2/3rd of the existing DBT under Modi government, which averages ₹1.068 lakh annually. So what is being claimed by the Congress Party - A bluff announcement.
#GaribiHataoSham
#RahulGandhi"
5567,2019-05-09 18:46:48+00:00,debayandutta11,@anandpankaj If the allegations are proven to be true then being a Cricket Lover and citizen of the country I’m more than ashamed of the candidate #gautamgambhir #BJP
76356,2019-05-02 09:28:55+00:00,Ashtripathi13,"#SupremeCourt tells #ElectionCommission to decide all remaining complaints filed against #PrimeMinister #NarendraModi and #AmitShah for allegedly violating the Model Code of Conduct.

SC to take up @sushmitadevmp plea alleging inaction by EC on May 6.

@DeccanHerald"
19609,2019-04-15 15:39:28+00:00,CaptainKantor,@waglenikhil So after all Congress has done a Mahagathbandhan with BJP. #Elections2019 #LokSabhaElection2019 #RahulGandhi #AAP
65576,2019-01-02 09:52:17+00:00,DattaSvs,"Very great counter strike by @arunjaitley ji. Saw live fireworks, the opposition lost their words. Don't mess with fire😉 corrupts, you cannot tolerate it!#Rafale #LokSabha #bjp#parliament"
41960,2019-03-14 07:13:54+00:00,VishalS0103,"How does Ravi Shankar Prasad knows what is going on in MeJ place. 
#BJP_भगाओ_देश_बचाओ #BJPTerrorism #ModiFailsNationalSecurity 
#ChinaBacksTerror #ChinaShieldsMasood #BoycottGodiMedia #RahulGandhi"
80254,2019-04-28 08:28:13+00:00,shreechaitanya,"@rahulmved @narendramodi @AmitShah @BJP4India Tomorrow is the day...
#LokSabhaElections2019"
10874,2019-04-29 05:04:22+00:00,Dailyaddaa,"#ElectionsWithdailyaddaa | Congress's petition alleges PM Modi, Amit Shah made hate speeches, repeatedly used armed forces for political propaganda despite prohibition by the Election Commission #LokSabhaElections2019"
53729,2019-02-12 11:47:12+00:00,aa2eets,"#KapilSibal representing #AnilAmbani in court...
And #INC at #PressConferences 
And people are curious as to how #INC has access to confidential correspondence that transpired between #Airbus &amp; #RelianceADAG 
Duh!!!
#RafaleDeal"
113754,2019-03-25 07:50:17+00:00,SanjayTandonBJP,"The people of India have two options in the #LokSabhaElections2019 to choose from -
A) Lotus
B) Loot-us

Choose wisely, dear brothers and sisters!
#NamoAgain #PhirEkBaarModiSarkar #VoteKar"
121697,2019-03-13 07:30:09+00:00,iamsudhish,"@ANI Bet you #RahulGandhi is teaching them ... 

A for Ambani... 

R for Rafale..."
49624,2019-02-26 06:13:29+00:00,venkateshskr,#ADMK #BJP alliance brings Amma’s  courage to our Government to strike back hard on Pak #SurgicalStrike #SurgicalStrike2 #airstrikes #AmitShah #NDA #NaMoAgain2019 #DMKFails #CongressFails #IndianAirForce congratulations !!!
85746,2019-04-22 12:18:52+00:00,MdAnwaareelahi,"How much development work one may do, but at last it's the formation of coalition which changes the game. #AAPKe7AapKeSaath #AAP @ArvindKejriwal @SanjayAzadSln #LokSabhaElections2019"
100803,2019-04-08 18:45:07+00:00,scarletrun,"Most political parties and their supporters make plenty of noise around development, strength, and growth. I think empathy and people connect seem to be underappreciated virtues, at least on social media. But it's something that's most vital #Elections2019 #LokSabhaElections2019"
